contract,method,sample_id,rank_rho,sign_agreement,top3_overlap
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2001,0.28484848484848485,0.5,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2002,0.11515151515151514,0.6,0.0
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2003,0.11515151515151514,0.4,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2004,-0.1515151515151515,0.3,0.0
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2005,0.5272727272727272,0.4,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2006,0.29696969696969694,0.5,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2007,0.2727272727272727,0.4,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2008,-0.13939393939393938,0.3,0.0
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2009,0.4424242424242424,0.5,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2010,0.6606060606060605,1.0,0.6666666666666666
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2011,-0.0303030303030303,0.4,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2012,-0.23636363636363633,0.8,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2013,-0.006060606060606061,0.4,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2014,0.2606060606060606,0.4,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2015,0.12727272727272726,0.4,0.0
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2016,0.406060606060606,0.6,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2017,0.006060606060606061,0.5,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2018,0.29696969696969694,0.4,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2019,-0.0303030303030303,0.7,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2020,0.09090909090909088,0.5,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2021,-0.07878787878787878,0.3,0.0
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2022,0.7454545454545454,0.8,0.6666666666666666
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-111|2023,-0.22424242424242422,0.6,0.0
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-123|2001,0.5272727272727272,0.5,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-123|2002,0.2121212121212121,0.6,0.0
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-123|2003,0.2727272727272727,0.8,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-123|2004,0.0303030303030303,0.6,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-123|2005,0.5878787878787878,0.6,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-123|2006,0.32121212121212117,0.6,0.3333333333333333
GROUP_complete,combined_kd,CY-Bench_wheat_AU|AU-123|2007,0.34545454545454546,0.5,0.0
